"","Deployment_fk","Receiver","Station","Zone","Latitude","Longitude","Mooring_type","Quality","Time","Milliseconds","Number_clicks_filtered","Number_clicks_total","Lost_minutes","Dpm","Dp10m","Dph","Recorded","Click_frequency","Click_intensity"
"72",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-08,25604,892,1356609,30,27,9,6,1440,0.01875,47573.3333333333
"73",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-09,36976,932,1088353,27,32,11,6,1440,0.0222222222222222,41940
"74",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-10,88833,2553,1178469,11,68,17,10,1440,0.0472222222222222,54063.5294117647
"75",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-11,53649,1535,581790,14,51,19,11,1440,0.0354166666666667,43341.1764705882
"76",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-12,24548,801,888061,22,21,10,5,1440,0.0145833333333333,54925.7142857143
"77",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-13,103538,3246,855779,27,76,18,8,1440,0.0527777777777778,61503.1578947368
"78",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-14,62152,2048,1067627,37,54,16,8,1440,0.0375,54613.3333333333
"79",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-15,13463,457,1287889,41,21,10,8,1440,0.0145833333333333,31337.1428571429
"80",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-16,56866,1741,2084822,92,47,17,9,1440,0.0326388888888889,53341.2765957447
"81",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-17,47372,2020,1750533,49,73,24,13,1440,0.0506944444444444,39846.5753424658
"82",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-18,65285,2514,2042745,79,56,18,12,1440,0.0388888888888889,64645.7142857143
"83",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-19,117988,4762,1815992,113,116,32,16,1440,0.0805555555555556,59114.4827586207
"84",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-20,123872,3716,1185621,21,99,30,14,1440,0.06875,54050.9090909091
"85",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-21,105136,2863,1010791,29,71,20,7,1440,0.0493055555555556,58066.4788732394
"86",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-22,88999,3242,1060408,22,98,27,12,1440,0.0680555555555555,47637.5510204082
"87",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-23,77953,2243,981413,16,67,18,9,1440,0.0465277777777778,48207.7611940299
"88",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-24,29888,826,1025340,2,34,14,7,1440,0.0236111111111111,34983.5294117647
"89",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-25,90830,3248,1532363,13,83,26,10,1440,0.0576388888888889,56350.843373494
"90",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-26,107386,3090,955977,23,113,28,10,1440,0.0784722222222222,39376.9911504425
"91",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-27,57425,2227,1225211,36,52,15,8,1440,0.0361111111111111,61670.7692307692
"92",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-28,4634,212,2909263,185,14,10,6,1440,0.00972222222222222,21805.7142857143
"93",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-29,9709,425,3342474,322,13,8,6,1440,0.00902777777777778,47076.9230769231
"94",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-09-30,78381,2380,1760836,27,56,21,11,1440,0.0388888888888889,61200
"95",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-01,83501,2425,1549228,47,74,23,11,1440,0.0513888888888889,47189.1891891892
"96",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-02,13831,608,4314634,530,19,7,5,1440,0.0131944444444444,46080
"97",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-03,173231,5822,3783205,357,114,26,10,1440,0.0791666666666667,73541.0526315789
"98",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-04,34484,979,2783174,158,28,14,10,1440,0.0194444444444444,50348.5714285714
"99",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-05,54987,1695,2721708,116,57,22,8,1440,0.0395833333333333,42821.0526315789
"100",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-06,35328,981,2739198,126,20,10,8,1440,0.0138888888888889,70632
"101",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-07,55784,1629,1965267,48,61,25,12,1440,0.0423611111111111,38455.0819672131
"102",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-08,75015,2633,1058204,26,83,30,11,1440,0.0576388888888889,45680.9638554217
"103",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-09,131335,4917,1080444,33,107,32,13,1440,0.0743055555555556,66172.7102803738
"104",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-10,98013,3006,1232938,23,88,25,12,1440,0.0611111111111111,49189.0909090909
"105",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-11,71533,2580,927525,24,61,17,9,1440,0.0423611111111111,60904.9180327869
"106",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-12,23523,916,1510952,30,28,13,10,1440,0.0194444444444444,47108.5714285714
"107",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-13,38690,819,1935083,52,18,10,6,1440,0.0125,65520
"108",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-14,73166,2660,1974036,54,93,34,14,1440,0.0645833333333333,41187.0967741935
"109",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-15,128025,3822,1553521,11,111,34,15,1440,0.0770833333333333,49582.7027027027
"110",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-16,208687,6561,1767561,23,136,32,12,1440,0.0944444444444444,69469.4117647059
"111",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-17,72363,3137,2139577,47,75,24,14,1440,0.0520833333333333,60230.4
"112",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-18,48521,2048,2873703,175,58,17,10,1440,0.0402777777777778,50846.8965517241
"113",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-19,141135,4199,4222752,514,88,25,12,1440,0.0611111111111111,68710.9090909091
"114",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-20,151925,4889,3791311,307,122,35,17,1440,0.0847222222222222,57706.2295081967
"115",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-21,133176,4821,2552046,90,165,45,19,1440,0.114583333333333,42074.1818181818
"116",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-10-22,244584,7430,2252572,41,202,49,18,1440,0.140277777777778,52966.3366336634
